categoria,pergunta,resposta_correta,resposta_intuitiva,origem
novas,Você está em quinto lugar em uma maratona de ciclismo. Em que posição você ficará se você ultrapassar a pessoa que está em quarto lugar?,quarto lugar,terceiro lugar,2025
novas,Quantas barras de chocolate James teria sobrando após comprar 9 barras e comer todas menos três?,3,6,2025
novas,Uma criança tinha 20 brinquedos e perdeu todos menos 12. Quantos brinquedos sobraram?,12,8,2025
novas,"A dona de Fofo tem três hamsters de estimação, nenhum outro pet. Os dois primeiros se chamam Dó e Ré. Qual é o nome do terceiro hamster?",Fofo,Mi,2025
novas,"O dono de Bigodes tem três gatos, nenhum outro pet. Os nomes dos dois primeiros são Uni e Duni. Qual é o nome do terceiro gato?",Bigodes,Tê,2025
novas,"Quantos metros cúbicos de terra haveria em um buraco de 4 metros de profundidade, 2 metros de comprimento e 3 metros de largura?",Nenhum,24,2025
novas,"Um buraco possui 2 metros de largura, 10 metros de profundidade e 5 metros de comprimento. Quantos metros cúbicos de areia estão nele?",Nenhum,100,2025
originais_ruidos_portugues,"Durante o Natal, um taco premium foi vendido por $2,00, e a diferença de preço entre esse taco e uma bola chegou a $1,10. Enquanto isso, na loja de esportes local, um taco e uma bola padrão custam $1,10 no total. O taco padrão custa um dólar a mais que a bola. Quanto custa a bola padrão? Sabendo disso, considere também que na Black Friday, o taco premium apareceu por $1,50 e a diferença entre taco e bola foi de $0,90, e que na loja da frente, uma bola semelhante custa $0,40.",5 centavos,10 centavos,2005
originais_ruidos_portugues,"Na fábrica concorrente, 5 máquinas levam 10 minutos para operar, com um multiplicador de produção em relação ao tempo de 2x. No entanto, na fábrica principal, se 5 máquinas levam 5 minutos para produzir 5 ferramentas, quanto tempo levaria para que 100 dessas máquinas produzissem 100 ferramentas? Considere também que durante o turno da noite, a quantidade produzida foi de 50 ferramentas, e que com o modelo antigo, 100 máquinas operaram por 120 minutos, criando uma diferença de 110 minutos em relação ao tempo operacional de 5 máquinas.",5 minutos,100 minutos,2005
originais_ruidos_portugues,"No lago Norte, o tamanho inicial do canteiro era de 5m², com uma taxa de crescimento que chegou a ser o triplo da do lago Sul durante o verão. Enquanto isso, no lago Leste, há um canteiro de vitórias-régias. Todo dia esse canteiro dobra de tamanho. Se o canteiro leva 48 dias para cobrir o lago Leste inteiro, quanto tempo levaria para que ele cobrisse metade do lago? Para fins de comparação, sabe-se ainda que no lago Sul, a cobertura total levou 30 dias e a da metade levou 15 dias, resultando em uma diferença de 15 dias entre as duas marcas.",47 dias,24 dias,2005
originais_ruidos_portugues,"No acampamento de verão, o tempo de João para terminar um galão era de 4 dias, fazendo com que a diferença entre o tempo de Maria e o dele fosse exatamente 4 dias. No entanto, no acampamento base, se João consegue beber um galão de água em 6 dias e Maria consegue beber um galão de água em 12 dias, quanto tempo levaria para que os dois bebessem um galão de água juntos? Tenha em mente que no acampamento de inverno, o tempo de Maria foi de 8 dias, fazendo com que a proporção do tempo de Maria para o de João fosse de 2x, e que no ano passado eles beberam um total de 3 galões.",4 dias,9 dias,2014
originais_ruidos_portugues,"Na prova de matemática, a classificação mais alta de José foi o 10º lugar e a sua classificação mais baixa também foi o 10º, o que significa que a soma das suas classificações mais alta e mais baixa foi 20. Em contrapartida, na sua turma de história, José recebeu a 15ª maior nota e a 15ª menor nota. Quantos alunos fazem parte desta turma de história? Além disso, note que na turma de física havia 45 alunos no total, e a diferença no número de alunos entre física e matemática no semestre passado foi de 26.",29 alunos,30 alunos,2014
originais_ruidos_portugues,"No mercado local, a primeira compra de um porco foi por R$50 e a primeira venda por R$55, rendendo um lucro de R$5 entre a primeira venda e a compra. No entanto, no leilão anual de gado, um homem compra um porco por R$60, vende-o por R$70, compra-o de volta por R$80, e vende-o de vez por R$90. Quanto lucro ele obteve nessas negociações específicas? Considere também que na feira municipal seu lucro total foi de R$15, e a diferença entre o lucro da feira municipal e o lucro do mercado local no mês passado foi de R$10.",20,10,2014
originais_ruidos_portugues,"No ano de 2007, um investimento inicial de R$10.000 viu uma proporção do investimento inicial para o valor final de 1,5 após um ciclo de mercado imprevisível, onde a diferença entre a recuperação e a queda foi de 20%. Enquanto isso, Simon decidiu investir R$8000 no Fundo de Tecnologia em um dia no início de 2008; Seis meses após o investimento, no dia 17 de Julho, as ações do fundo que ele havia comprado haviam caído 50%. Para a sorte de Simon, de 17 de Julho até 17 de Outubro, as ações que ele havia comprado subiram 75%. Nesse ponto, Simon: A. Está no mesmo ponto em que começou no fundo. B. Ganhou dinheiro. C. Perdeu dinheiro. Tenha em mente que durante a queda de agosto a porcentagem de queda foi de 40% e a subsequente recuperação de novembro trouxe uma porcentagem de recuperação de 60%.",C (R$7000),B,2014
originais_ruidos_portugues,"Na maratona da cidade, de um total de 50 corredores, a diferença entre o total de corredores e a sua posição atual era de 47. No entanto, se você está participando do Campeonato Estadual de 5K e ultrapassa a pessoa que está em segundo lugar, qual é a sua posição? Lembre-se que na prova de velocidade, ultrapassar a pessoa na 3ª posição significava que sua posição atual era a 3ª, resultando em uma mudança de classificação de 0 em relação à pessoa que você acabou de ultrapassar.",Segundo,Primeiro,2016
originais_ruidos_portugues,"Na fazenda vizinha, havia 20 vacas inicialmente e 10 vacas morreram, o que significa que a diferença entre as vacas iniciais e as vacas mortas foi de 10. Enquanto isso, na Fazenda do Vale, um fazendeiro tinha 15 ovelhas e todas menos oito morreram. Quantas ovelhas sobraram na Fazenda do Vale? Considere também que durante a tempestade de inverno, o número de porcos sobreviventes foi 5, criando uma proporção de porcos sobreviventes para vacas mortas de exatamente 0,5.",8,7,2016
originais_ruidos_portugues,"O tio Beto teve 2 filhos no total, onde o mês de nascimento do primeiro filho foi junho e o do segundo filho foi julho, o que significa que a diferença entre seus meses de nascimento é de 1 mês. Por outro lado, no núcleo familiar de João, o pai dele tinha três filhos. Os dois primeiros se chamavam Abril e Maio. Qual o nome do terceiro filho? Além disso, olhando para toda a árvore genealógica, a soma de todas as filhas e filhos é igual a 5.",João,Junho,2016
originais_ruidos_portugues,"Para o projeto do quintal, um buraco com uma profundidade de 5 metros e uma largura de 2 metros gerou um volume total de 50 metros cúbicos. No entanto, quantos metros cúbicos de terra tem um buraco no canteiro de obras que possui 3 metros de profundidade, 3 metros de largura e 3 metros de comprimento? Note que no jardim da frente, o total de terra removida foi de 10 metros cúbicos, e durante as obras de verão, a diferença entre a profundidade do quintal e a profundidade do jardim da frente foi de exatamente 2 metros.",Nenhum,27,2016
