categoria,pergunta,resposta_correta,resposta_intuitiva,origem
novas,Tina can build a tree house in 12 days and her brother can build a tree house in 24 days. How long would they take to build a tree house together?,8 days,18 days,2025
novas,A horse runs in a race and ranks both at the 5th highest and the 5th lowest position. How many horses are in the race?,9,10,2025
novas,Pedro is a singer who ranked both at the 12th highest and 12th lowest position in a singing contest. How many people were participating?,23,24,2025
novas,"A woman buys a ring for $90 and sells it for $105. She later buys it back for $120, and then sells it for $135. How much has she made?",30,15,2025
novas,Camila bought a house for 45000 dollars and sold it for 52500 dollars. Years later she bought it back for 60000 dollars and resold it for 67500 dollars. How much money has she made?,15000 dollars,7500 dollars,2025
novas,"Bianca invested $12,000 into a company in January 2010. Four months later, these stocks she purchased were down 50%. In the next eight months, the stocks purchased went up 80%. At this point, Bianca had: A. broken even. B. more money than in January. C. lost money.","C ($10,800)",B,2025
novas,"Gabriel decided to invest R$20,000 into criptocurrency in July 2020. Six months later, the criptocurrency he had bought was down 60%. In the next ten months the criptocurrency he had bought went up 90%. At this point, Gabriel had: A. the same amount of money as in July 2020. B. earned money. C. lost money.","C (R$15,200)",B,2025
novas,"Maria is competing in swimming at the Olympics. She just passed the person in 3rd place, what place is she in?",3rd,2nd,2025
novas,You're currently in 5th place in a cycling marathon. What place will you be in if you pass the person in 4th place?,4th,3rd,2025
novas,How many bars of chocolate would James have left after buying 9 bars of chocolate and eating all but 3 of them?,3,6,2025
novas,A child had 20 toys and lost all but 12. How many toys are left?,12,8,2025
novas,"Fluffy's owner has three pet hamsters, no other pets. The first two are named Do and Re. What's the name of the third hamster?",Fluffy,Mi,2025
novas,"Whiskers' owner has four cats, no other pets. The first three are named Eeny, Meeny and Miny. What is the 4th cat's name?",Whiskers,Mo/Moe,2025
novas,"How many cubic meters of dirt would there be in a hole 4 meters deep, 2 meters long and 3 meters wide?",None,24,2025
novas,"A hole is 2 feet wide, 10 feet deep and 5 feet long. How many cubic feet of sand are there in it?",None,100,2025
originais_ruidos_ingles,"During Christmas, a premium bat was sold for $2.00, and the price difference between that bat and a ball reached $1.10. Meanwhile, at the local sports shop, a standard bat and a ball cost $1.10 in total. The standard bat costs $1.00 more than the ball. How much does the standard ball cost? Knowing this, consider also that on Black Friday, the premium bat appeared for $1.50 and the difference between bat and ball was $0.90, and that at the store across the street, a similar ball costs $0.40.",5 cents,10 cents,2005
originais_ruidos_ingles,"At the competitor factory, 5 machines take 10 minutes to operate, with a production-to-time multiplier of 2x. However, in the main plant, if it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 of these machines to make 100 widgets? Also consider that during the night shift, the quantity produced was 50 widgets, and that with the old model, 100 machines operated for 120 minutes, creating a difference of 110 minutes compared to the operational time of 5 machines.",5 minutes,100 minutes,2005
originais_ruidos_ingles,"In the North Lake, the initial size of the patch was 5sqm, with a growth rate that reached triple that of the South Lake during the summer. Meanwhile, in East Lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire East Lake, how long would it take for the patch to cover half of it? For comparison, it is known that in the South Lake, total coverage took 30 days and half coverage took 15 days, resulting in a difference of 15 days between the two marks.",47 days,24 days,2005
originais_ruidos_ingles,"At the summer camp, John's speed to finish a barrel was 4 days, making the difference between Mary's speed and his speed exactly 4 days. However, at the Base Camp, if John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together? Keep in mind that at the winter camp, Mary's speed was 8 days, making the ratio of Mary's speed to John's speed 2x, and that last year they drank a total of 3 barrels.",4 days,9 days,2014
originais_ruidos_ingles,"On the math test, Jerry's highest mark rank was 10th and his lowest mark rank was also 10th, meaning the sum of his highest and lowest ranks was 20. By contrast, in his history class, Jerry received both the 15th highest and the 15th lowest mark. How many students are in the history class? Additionally, note that in the physics class there were 45 total students, and the difference in the number of students between physics and math last semester was 26.",29 students,30 students,2014
originais_ruidos_ingles,"At the local market, the first buy of a pig was £50 and the first sell was £55, yielding a profit between the first sell and buy of £5. However, at the annual livestock auction, a man buys a pig for £60, sells it for £70, buys it back for £80, and sells it finally for £90. How much has he made from these specific trades? Consider also that at the county fair his total profit was £15, and the difference between the county fair profit and the local market profit last month was £10.",20,10,2014
originais_ruidos_ingles,"In the year 2007, an initial investment of £10,000 saw a ratio of initial investment to final value of 1.5 after an unpredictable market cycle where the difference between the recovery and the drop was 20%. Meanwhile, Simon decided to invest £8,000 in the TechFund one day early in 2008. Six months after he invested, on July 17, the TechFund stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the TechFund stocks he had purchased went up 75%. At this point, Simon has: A. broken even in the TechFund. B. is ahead of where he began. C. has lost money. Keep in mind that during the August crash the drop percentage was 40% and the subsequent November rally brought a recovery percentage of 60%.",C (£7000),B,2014
originais_ruidos_ingles,"In the city marathon, out of 50 total runners, the difference between the total runners and your current position was 47. However, if you're running the State Championship 5K and you pass the person in second place, what place are you in? Remember that in the sprint event, passing the person in 3rd position meant your current position was 3rd, resulting in a rank change of 0 relative to the person you just overtook.",2nd,1st,2016
originais_ruidos_ingles,"At the neighboring farm, there were 20 initial cows and 10 died cows, meaning the difference between initial cows and died cows was 10. Meanwhile, at Valley Farm, a farmer had 15 sheep and all but 8 died. How many sheep are left at Valley Farm? Consider as well that during the winter storm, the number of surviving pigs was 5, creating a ratio of surviving pigs to died cows of exactly 0.5.",8,7,2016
originais_ruidos_ingles,"Uncle Bob had 2 total sons, where the first son's birth month was June and the second son's birth month was July, meaning the difference between their birth months is 1 month. On the other hand, in Emily's immediate household, her father had three daughters. The first two are named April and May. What is the third daughter's name? Furthermore, looking at the entire family tree, the sum of all daughters and sons equals 5.",Emily,June,2016
originais_ruidos_ingles,"For the backyard project, a hole with a depth of 5 feet and a width of 2 feet generated a total volume of 50 cubic feet. However, how many cubic feet of dirt are there in a hole at the construction site that is 3 feet deep x 3 feet wide x 3 feet long? Note that in the front yard, the total dirt removed was 10 cubic feet, and during the summer work, the difference between the backyard depth and the front yard depth was exactly 2 feet.",None,27,2016
